60,68500,5,4.70,13700,0.94,10000,1.09,1.22,1.33,1.64,2.13,0.64,0.71,0.79,0.97,1.26
61,35000,5,4.25,7000,0.85,10000,1.21,1.34,1.48,1.80,2.34,0.71,0.80,0.87,1.06,1.38
62,18000,5,2.45,3600,0.49,10000,1.33,1.48,1.63,1.98,2.59,0.78,0.87,0.95,1.17,1.50
63,18000,5,2.60,3600,0.52,10000,1.47,1.63,1.79,2.19,2.85,0.85,0.96,1.05,1.29,1.68
64,18000,5,2.95,3600,0.59,10000,1.62,1.79,1.98,2.42,3.15,0.95,1.06,1.17,1.44,1.86
65,18000,5,3.35,3600,0.67,10000,1.79,2.00,2.19,2.69,3.50,1.06,1.18,1.29,1.59,2.07
66,18000,5,3.70,3600,0.74,10000,2.00,2.21,2.44,3.01,3.89,1.18,1.31,1.45,1.76,2.29
67,18000,5,3.75,3600,0.75,10000,2.21,2.45,2.70,3.33,4.30,1.29,1.45,1.59,1.96,2.54
68,18000,5,3.75,3600,0.75,10000,2.45,2.73,3.01,3.68,4.78,1.45,1.61,1.76,2.17,2.81
69,18000,5,3.75,3600,0.75,10000,2.73,3.04,3.34,4.09,5.31,1.61,1.79,1.96,2.41,3.11
